Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0603_1608Metric",98.425000,-85.725000,90.000000,bottom
"C2","22pF","C_0603_1608Metric",91.281250,-85.725000,270.000000,bottom
"C3","1uF","C_0603_1608Metric",84.137500,-97.631250,270.000000,bottom
"C4","0.1uF","C_0603_1608Metric",88.106250,-87.312500,90.000000,bottom
"C5","0.1uF","C_0603_1608Metric",100.012500,-105.568750,180.000000,bottom
"C6","0.1uF","C_0603_1608Metric",103.981250,-92.075000,90.000000,bottom
"C7","10uF","C_0603_1608Metric",85.725000,-87.312500,90.000000,bottom
"C8","22pF","C_0603_1608Metric",193.675000,-103.187500,270.000000,bottom
"C9","22pF","C_0603_1608Metric",200.818750,-103.187500,90.000000,bottom
"C10","1uF","C_0603_1608Metric",207.168750,-90.487500,180.000000,bottom
"C11","0.1uF","C_0603_1608Metric",203.993750,-100.806250,270.000000,bottom
"C12","0.1uF","C_0603_1608Metric",201.612500,-83.343750,180.000000,bottom
"C13","0.1uF","C_0603_1608Metric",189.706250,-98.425000,0.000000,bottom
"C14","10uF","C_0603_1608Metric",204.787500,-84.137500,90.000000,bottom
"C15","0.1uF","C_0603_1608Metric",84.931250,-101.600000,180.000000,bottom
"C16","0.1uF","C_0603_1608Metric",188.912500,-84.931250,90.000000,bottom
"D1","SOD123","D_SOD-123",31.750000,-49.212500,90.000000,bottom
"D2","SOD123","D_SOD-123",31.750000,-68.262500,90.000000,bottom
"D3","SOD123","D_SOD-123",31.750000,-87.312500,90.000000,bottom
"D4","SOD123","D_SOD-123",31.750000,-106.362500,90.000000,bottom
"D5","SOD123","D_SOD-123",34.925000,-49.212500,90.000000,bottom
"D6","SOD123","D_SOD-123",34.925000,-68.262500,90.000000,bottom
"D7","SOD123","D_SOD-123",34.925000,-87.312500,90.000000,bottom
"D8","SOD123","D_SOD-123",34.925000,-106.362500,90.000000,bottom
"D9","SOD123","D_SOD-123",181.768750,-46.831250,90.000000,bottom
"D10","SOD123","D_SOD-123",181.768750,-65.881250,90.000000,bottom
"D11","SOD123","D_SOD-123",181.768750,-84.931250,90.000000,bottom
